dataset,datamode,ad-method,emb-method,AUC,seed
cora,A ,IF ,Node2,0.670,52
cora,A ,OCS,Node2,0.617,52
cora,A ,PCA,Node2,"0.68,",52
cora,A ,AE ,Node2,0.678,52
cora,AX,IF ,Node2,0.541,52
cora,AX,OCS,Node2,0.615,52
cora,AX,PCA,Node2,0.638,52
cora,AX,AE ,Node2,0.639,52
cora,A ,IF ,"LINE
",0.579,52
cora,A ,OCS,"LINE
",0.575,52
cora,A ,PCA,"LINE
",0.578,52
cora,A ,AE ,"LINE
",0.576,52
cora,AX,IF ,"LINE
",0.584,52
cora,AX,OCS,"LINE
",0.574,52
cora,AX,PCA,"LINE
",0.637,52
cora,AX,AE ,"LINE
",0.637,52
cora,A ,IF ,"SDNE
",0.531,52
cora,A ,OCS,"SDNE
",0.515,52
cora,A ,PCA,"SDNE
",0.515,52
cora,A ,AE ,"SDNE
",0.515,52
cora,AX,IF ,"SDNE
",0.550,52
cora,AX,OCS,"SDNE
",0.516,52
cora,AX,PCA,"SDNE
",0.634,52
cora,AX,AE ,"SDNE
",0.633,52
cora,A ,IF ,Struc,0.535,52
cora,A ,OCS,Struc,0.540,52
cora,A ,PCA,Struc,0.538,52
cora,A ,AE ,Struc,0.538,52
cora,AX,IF ,Struc,0.568,52
cora,AX,OCS,Struc,0.541,52
cora,AX,PCA,Struc,0.637,52
cora,AX,AE ,Struc,0.637,52
cora,A ,IF ,Node2,0.656,58
cora,A ,OCS,Node2,0.615,58
cora,A ,PCA,Node2,0.676,58
cora,A ,AE ,Node2,0.677,58
cora,AX,IF ,Node2,0.536,58
cora,AX,OCS,Node2,0.610,58
cora,AX,PCA,Node2,0.627,58
cora,AX,AE ,Node2,0.627,58
cora,A ,IF ,"LINE
",0.615,58
cora,A ,OCS,"LINE
",0.606,58
cora,A ,PCA,"LINE
",0.608,58
cora,A ,AE ,"LINE
",0.608,58
cora,AX,IF ,"LINE
",0.548,58
cora,AX,OCS,"LINE
",0.604,58
cora,AX,PCA,"LINE
",0.625,58
cora,AX,AE ,"LINE
",0.625,58
cora,A ,IF ,"SDNE
",0.583,58
cora,A ,OCS,"SDNE
",0.545,58
cora,A ,PCA,"SDNE
",0.565,58
cora,A ,AE ,"SDNE
",0.564,58
cora,AX,IF ,"SDNE
",0.519,58
cora,AX,OCS,"SDNE
",0.536,58
cora,AX,PCA,"SDNE
",0.615,58
cora,AX,AE ,"SDNE
",0.615,58
cora,A ,IF ,Struc,0.551,58
cora,A ,OCS,Struc,0.528,58
cora,A ,PCA,Struc,0.533,58
cora,A ,AE ,Struc,0.533,58
cora,AX,IF ,Struc,0.533,58
cora,AX,OCS,Struc,0.527,58
